Unit Name	ID	Algo Verified	Name	Date Created
$AVO	397111682	TBD	ALGO AVOCADO	Thu Nov 04 2021 03:00:00 GMT-0400 (Eastern Daylight Time)
ABSKT	353409462	TBD	AlgoBasket	Sat Oct 02 2021 03:00:00 GMT-0400 (Eastern Daylight Time)
ACAT	430838314	TBD	Astrocat	Fri Nov 19 2021 03:00:00 GMT-0500 (Eastern Standard Time)
ACORN	226265212	TBD	AlgoNuts	Mon Jun 21 2021 03:00:00 GMT-0400 (Eastern Daylight Time)
ACRES	555540865	TBD	80Acres	Thu Jan 20 2022 03:00:00 GMT-0500 (Eastern Standard Time)
ADVENTUR	426526699	TBD	Adventure Coin	Wed Nov 17 2021 03:00:00 GMT-0500 (Eastern Standard Time)
AFD	393495312	TBD	Algorand Faucet Drops	Tue Nov 02 2021 03:00:00 GMT-0400 (Eastern Daylight Time)
AGNR	305992851	TBD	Algoneer	Wed Aug 18 2021 03:00:00 GMT-0400 (Eastern Daylight Time)
AGR	453816186	TBD	Aegir	Fri Dec 03 2021 03:00:00 GMT-0500 (Eastern Standard Time)
AIRSHO	457205263	TBD	AIRSHO Coin	Mon Dec 06 2021 03:00:00 GMT-0500 (Eastern Standard Time)
AKTA	523683256	TBD	Akita Inu	Wed Jan 05 2022 03:00:00 GMT-0500 (Eastern Standard Time)
AL	447852812	TBD	ALGO LITE	Tue Nov 30 2021 03:00:00 GMT-0500 (Eastern Standard Time)